,heading,date,link
20,"Revised Time Table of Even Semester 2019 for MPAE/ Mechanical Engineering 2nd, 4th and 6th semestersPublished By: Dr ABHISHEK TEVATIA, ASSISTANT PROFESSOR, MANUFACTURING PROCESSES AND AUTOMATION ENGINEERING",5/12/2018,https://www.imsnsit.org/imsnsit/plum_url.php?0c3E6dMhkLYnpFVkgrsETAzeU5EKsT++PDXoBJAdNvrWluQV7iEy+zDzd25hT5Xbrd9VbkqA7wJsvuZxNRVx87/YWbdYl7W75y1ySEDURWhEtqMpPsa7sErs4hVaCK308Fnv6OoA+iXFV0L7kYA0XIlgwCXiefXdCBw73Y/2KTjvvZjaYDqKoejkveBhooNDb6ql2PkBW3W3GcqpuOxnzw==
21,"Viva-voce examination of IPR/International Eco. Environment (BT-410)Published By:  PANKAJ DESHWAL, ASSISTANT PROFESSOR, MANAGEMENT",5/12/2018,https://www.imsnsit.org/imsnsit/plum_url.php?ycUeFNH8d3rOjs6dPqfGb5BgpejSP6/8OpBVgSPjtTXWEyWuxol8nioKoVnugnGcxq44t5q6CZheqMdF2xN7TKgYfemuP/97H7fL9hU8BYga/1zKef6QR74AL/sNwkFU/AcDNoG7zfwhYx5sDjb8onFGa82Tb3UhEfbw7kfgi37JPpVUlGrgYLp7hOUiZdrLT8McG3+gBbmhrucJ+PAMOQ==
22,"Backlog Practical Exams in COE DivisionPublished By: Dr PINAKI CHAKRABORTY, ASSISTANT PROFESSOR, COMPUTER ENGINEERING",4/12/2018,https://www.imsnsit.org/imsnsit/plum_url.php?uiWLeaN8uzzZGX8OV+gC8LArXmOV50OwWkFhO6Vt2d6OJOy5gCBf305MOoHGQh3GOG6vAV6S6oLKqorkjK9fULSsqAtxr0fM+Jkw7ERYPGqO7J6XQxNNNJAahWWki99NWITVixiRKSJhjJbW16wQQCGzD3WiyT5mJ9Gg02l53JolvMr5US0QfqMPkRX1544+a1WOn5PL50BG+0gh4UUdnQ==
23,"Time Table of Even Semester 2019 for BSE Division (2nd, 4th and 6th Semester)Published By: DR YATENDER KUMAR, ASSISTANT PROFESSOR, BIO TECHNOLOGY",3/12/2018,https://www.imsnsit.org/imsnsit/plum_url.php?0X+gZqxhUiTiAU869erLH6psxY3yOLHBvka7m/tzFLUcEBaSgYzo/wGmqDVHUY5wO42mflJTLBoxvfMwpifUheik3mtFE0dGQQ4M8IA9USDw8ZsIPsDYBYU+rUrBx3QMm9DjJlu1WOn6rezMYEySS5Ret/OZ1V1gfgr1SRj/88GGoUAQY1w9E+ubRi5MbG/F0OmTPCkJpX3fq9vBYzl9nsbNBHC1Z5vTyAZEWtti/lUcUgDr3CLIaICUhOs6EPAb
24,"GUIDELINES FOR REGISTRATION  FOR NEXT EVEN SEMESTER.Published By: Prof SUJATA SENGAR, DEAN UG, ACADEMIC SECTION",3/12/2018,https://www.imsnsit.org/imsnsit/plum_url.php?VmLqnvgy3ehfVuciuaJJKTe1/f7Am6QHHfK9rTdwExbvOGYnUQ6Kd6HbzfNEosLsaTfYE5N4d/Xf3dnbb8Kv5jDlRd2Yhk1oNJQVw+hQCs5ec4YAGUGvguP5HK4UlbqwrV+jmLcAJjkzmFEzXaQWJmIaeNVTPcJIJ+Xn+ecLIAvT14bqGh1U2HBpltOMtJUxZQlm22gxl2PBr9jK5FnsdH2jXH7sonwCOKOrRcdCHi9aTx3TUoItXSbsS+xmiMBH
25,"Time Tables of even sem 2019 for COE 2nd, 4th and 6th semestersPublished By: Dr RITU SIBAL, COMPUTER ENGINEERING",1/12/2018,https://www.imsnsit.org/imsnsit/plum_url.php?uB1g9XIKl8RZv6uIUesUx2HkFnvaHih776aEnr46ZOUDPgE/AGyoqMAbHkAZRl8ssBtqOstIvLPZr/HTcSudPsJiI+AzzL4z1giZDVIw9Qs4jhkorw+jZNpL/iHLrF2vf3ytOWgW+rPpIADMe2ti9qyy9WD+yJJKNrZ50+A0KidtYvEX1bKvUJ8kysHIsDXURF7lAP0gnWxq6aiw7OFG6g8gEWTphxQQgOjEAYBYVrgVorTjCLQXzv9shvZwkKbgHfkr1231uBtwPdxYQKgBPw==
26,"Regarding Practical exam of BT306 (old scheme)Published By: Dr. SHILPA SHARMA, PRACTICAL INSTRUCTOR, BIOLOGICAL SCIENCES AND ENGINEERING",1/12/2018,https://www.imsnsit.org/imsnsit/plum_url.php?Vcj/1yzFynYfNDTbe48ab7RA5GmjcIm8TZeIn1Qr/+jRKAT8FRqjtjgzV6Ne/IVCcqESKs4oBdCvW7Ui/k50l/i88yPKbT4c0EctOrUN/78o6CMMyVH2I35VWfH/jfXW/CHFhwpBvmys3pzitcR3L4voM/Gj0gfMDAStV2/CgkdqY6NN0sHVZd7LgrJf/CXC
27,"Time Table for Even Semester 2019 for ICE Sem-2, Sem-4, Sem-6Published By: MS MANISHA, INSTRUMENTATION AND CONTROL ENGINEERING",1/12/2018,https://www.imsnsit.org/imsnsit/plum_url.php?giQkEXUAJGydCoZBgITql/uBu5wM1xUy4Ku/xwsG17bNM1hThjVtAJabFSC5WhLsfnXnSPWfBCw8kiIxJP6PNs++nOdiQ4EKIcJ1EZR/Kg+y91Pr23Q6QFtIAfF4isoEONu2zISud+gBIlQfnG0UzzK6oNix5qgOsH/U7DAvdB4MkSLFbODc/JAymI9SZb49540/CbHrCs/SKisyYblxRFgLuGPE5cq83T3r1KO1u9BB72PpRW/rsywio70QHRf2
28,"Time Table for Even Semester 2019 of IT Sem-2, Sem-4, Sem-6Published By: Mr. SATISH KUMAR SINGH, INFORMATION TECHNOLOGY",30-11-2018,https://www.imsnsit.org/imsnsit/plum_url.php?TnSp1V/UuUl718pOUZyFAG5ZJRptwvvZ8EKRECE9KaNnjtBj8wso8WoaJP+3J/F/yJlRgnEbS0ksT4mqQ44h+aNasF5j/4xR+uKqEUMqZ5nApsUPTrKGEe1+zGkuEKtNoSJ4TTq/BeCLh2zC5B9YpUiTHxETPdXisTTSPjAfUBiU6b+zhmQ2muN8SYvQJaHEVxwBjSMobJD1VbFUtk+Wsw==
29,"Notice for rescheduling of Practical Exam. : ECC-15 (III)Published By: Dr KUNWAR SINGH, PRACTICAL SUPERINTENDENT, ELECTRONICS AND COMMUNICATION ENGINEERING",30-11-2018,https://www.imsnsit.org/imsnsit/plum_url.php?Sx2kQ7ssK1zfgd2N3TUEm9lpIzyWCoc6qIGYJv0z6po6iIhzUSYuoOdb1gr4UGNFIMAjQpPGGFmjBzky6uTIDWS9sowp0/vLCwILh+42WAoRfr88asH+2KIaUOO/6HijdMf5w3HaA+tcTFuHbsPbzIdSUzXDr9Ug51NMg8YynlGBOWRkLcvRZ1nN+gAWvYCCGfC8wRJLFdyoE0AFbFjHVw==
